"speaker","start_time","end_time","transcription","translation"
"1","323.28","326.899","但圣经告诉我们不是这样,",""
"1","326.899","332.328","圣经约伯记比起刚才说的以赛亚书还要早,",""
"1","332.328","337.153","可能是3500至4000年前,",""
"1","337.153","342.28","公元前的1500至2000年前,",""
"1","342.28","344.62","圣经里面有这样一句话,",""
"1","344.62","346.748","神将北极铺在空中,",""
"1","346.748","348.663","将大地圆在虚空,",""
"1","348.663","350.152","中文捉不到,",""
"1","350.152","352.28","英文下面怎么说呢?",""
"1","352.28","353.28","下面怎么说呢?",""
"1","353.28","357.28","它说神,它说 God, hand the earth on nothing",""
"1","357.28","360.28","即是说神没用任何东西吊着地球",""
"1","360.28","362.28","是不是很厉害?",""
"1","362.28","367.28","那我问你,什么时候知道地球真的没有东西吊着，没有东西托着?",""
"1","367.28","370.28","其实是直到确实的证据是什么时候呢?",""
"1","370.28","373.28","直到火箭升空",""
"1","373.28","375.28","当太空人回望地球的时候发觉",""
"1","375.28","377.28","咦,真的看不到有大笨象",""
"1","377.28","380.28","真的看不到有大力士的肩膀",""
"1","380.28","384.262","另外再加上还有就是什么?就是那些北极的探险,",""
"1","384.262","385.348","南极的探险,",""
"1","385.348","387.339","连最后的地方都去到了,",""
"1","387.339","388.606","就发觉没有绳,",""
"1","388.606","389.873","没有东西吊着,",""
"1","389.873","391.14","没有东西托着,",""
"1","391.14","393.568","但是其实早在三千多四千年前,",""
"1","393.568","395.129","圣经已经告诉我们,",""
"1","395.129","395.476","神,",""
"1","395.476","400.68","God hand the earth on nothing,",""
"1","400.68","403.539","又例如这一句说话,",""
"1","403.539","407.668","他说你自从生出，曾命定神光,",""
"1","407.668","409.892","使清晨的日光,",""
"1","409.892","411.48","知道本位。",""
"1","411.48","417.68","因着这个神光,地面改变如泥上印印。",""
"1","417.68","419.28","什么意思呢?",""
"1","419.28","423.247","意思就是形容日出早上的时候,",""
"1","423.247","425.797","地面慢慢越来越光,",""
"1","425.797","429.48","光的情况就像泥上印印一样。",""
"1","429.48","431.48","你讲什么呀?",""
"1","431.48","437.48","你知道以前的人印印是怎么印的",""
"1","437.48","444.48","他就将一些图案、文字挑在一些石桶上面",""
"1","444.48","449.48","然后就在泥上面,预备一个平面的泥",""
"1","449.48","452.48","然后就在泥上面印",""
"1","452.48","456.48","经过印之后,是不是有些图案、有些文字出来",""
"1","456.48","460.129","还有这个石印又可以再印第二次,",""
"1","460.129","461.345","印第三次,",""
"1","461.345","465.48","所以当时的人他们就是这样印东西的,",""
"1","465.48","470.98","那么他说为什么日出好像泥上印印那样呢?其实仿佛就是什么呢?",""
"1","470.98","475.48","你发觉是不是越来越光越来越光,黑暗慢慢退去,",""
"1","475.48","479.48","接着大地的那种改变就好像刚才说的印印那样,",""
"1","479.48","485.48","仿佛就让我们知道原来地球好像印印那样是会转动的,是会自转的,",""
"1","485.48","488.371","不单止会自转,",""
"1","488.371","490.849","它还会倾斜,",""
"1","490.849","493.74","倾斜23.5度",""
"1","493.74","500.84","有什么影响呢?有,因为倾斜23.5度,所以就有春夏秋冬",""
"1","500.84","502.752","所以过两天,",""
"1","502.752","505.301","北半球就是冬至,",""
"1","505.301","510.08","南半球可能就是日头最长的那一天",""
"1","510.08","513.58","你发觉有春夏秋冬是不是有很多姿彩?",""
"1","513.58","515.58","亦都有实际功用,",""
"1","515.58","517.83","因为当它斜的时候,",""
"1","517.83","521.08","你发觉很多地方会比较温暖,",""
"1","521.08","522.83","更加适合人住,",""
"1","522.83","526.58","所以适合人住的地方就多了很多。",""
"1","526.58","533.58","如果垂直转,没有斜的话,斜度就很热,而南极北极就很冷。",""
"1","533.58","539.58","为什么圣经里面这么特别呢?",""
"1","539.58","544.58","圣经讲了那么多关于地球、关于科学的东西",""
"1","544.58","546.58","为什么这么准确呢?",""
"1","546.58","549.58","甚至超过很多人的发现",""
"1","549.58","553.58","要事后隔了很多年才找到证据证明所说的",""
"1","553.58","556.58","原来圣经是神的话",""
"1","556.58","558.58","就像这里圣经说的",""
"1","558.58","560.58","圣经都是神所默示的",""
"1","560.58","562.58","圣经是神的话",""
"1","562.58","569.58","这个天地是神造的,当然知道这个天地的过终的细节,",""
"1","569.58","574.58","所以神也透过圣经使我们认识这些,",""
"1","574.58","580.58","所以透过刚才所说的,你知道圣经上的那位是真神,",""
"1","580.58","585.58","而透过圣经我们也知道真神的真实,",""
"1","585.58","588.66","咁唔单止圣经嘅",""
"1","589.16","594.02","咁你发觉呢当你有时间去,点解啲人喜欢去旅行呀,去郊外呀",""
"1","594.28","595.3","因为靓喇",""
"1","595.56","598.64","当你欣赏下嗰个创造界的时候呢,你发觉又",""
"1","598.9","599.92","又伟大啦",""
"1","600.42","601.46","又奇妙啦",""
"1","601.96","603.24","又精细啦",""
"1","603.5","604.78","又靓啦",""
"1","606.82","611.18","圣经里面有句这样的说话,佢话什么呢,佢话自从造天地以来",""
"1","611.7","612.98","神的永能",""
"1","613.22","614.26","佢永远的能力啦",""
"1","614.26","617.08","和神性即是他是怎样的呢",""
"1","617.34","618.86","是明明可知的",""
"1","619.64","620.92","虽然眼见不到",""
"1","621.42","622.96","但借着所做之物",""
"1","623.22","624.24","就可以晓得",""
"1","624.76","626.04","叫人无可推诿",""
"1","627.58","631.42","原来透过创造界你多些去到户外看下",""
"1","631.66","633.2","你都会认识神的,为什么",""
"1","633.46","635.76","因为看见世界是不是很奇妙",""
"1","636.28","638.84","就等于你现在见到我手上拿的手表",""
"1","639.6","641.9","当你见到手表的时候你发觉是不是很漂亮",""
"1","641.9","644.9","一定是有人设计,有人做的",""
"1","644.9","648.9","而这个世界那种美丽,那种复杂",""
"1","648.9","650.9","比这个手表复杂得多",""
"1","650.9","652.9","所以当我看见这个世界的时候",""
"1","652.9","656.9","我就知道真的有位设计者,有位创造者",""
"1","656.9","659.9","而神他真的创造万物的",""
"1","661.9","664.9","所以曾经有一个调查",""
"1","664.9","668.9","就是近这几个世纪的一些杰出的科学家",""
"1","668.9","670.9","这个调查发现什么呢?",""
"1","670.9","676.9","因为在这些调查的科学家里面有超过九成都相信有神的",""
"1","676.9","682.9","所以我和你讲信神不是不科学家",""
"1","682.9","685.9","有超过九成的科学家是信有神的",""
"1","685.9","689.9","为什么?因为当他越研究,当他越了解这个世界的时候",""
"1","689.9","692.9","他发觉一定有一位设计者,一定有一位创造者",""
"1","692.9","695.9","所以其实今天信神是很理智的",""
"1","695.9","702.3","这个研究其实都曾经登过在报纸上的",""
"1","702.3","705.62","不知道你有没有留意这些新闻",""
"1","705.62","709.46","说到这里的时候",""
"1","709.46","713.56","你们会发觉今天我们所说的这位神",""
"1","713.56","715.86","圣经上面记载这位神",""
"1","715.86","717.92","他是创造天地万物的",""
"1","717.92","719.46","他不是人手做的",""
"1","719.46","723.04","所以曾经有人说真神就是做人的",""
"1","723.04","724.06","做天地万物的",""
"1","724.06","726.62","假神是人造的",""
"1","726.62","730.2","而圣经說到假神是有眼睛",""
"1","730.2","731.74","但看不到的",""
"1","731.74","733.28","有耳聽不到",""
"1","733.28","734.82","有口也說不到",""
"1","734.82","738.9","也不能夠在市場買賣",""
"1","738.9","741.22","也不會大減價",""
"1","741.22","745.3","另外剛才你聽見Killy的見證",""
"1","745.3","746.58","聽見細辉的見證",""
"1","746.58","749.4","你看見神是良善是美好的",""
"1","749.4","757.28","有些人是否黑社会,又拜偶像,又拜假神",""
"1","757.28","762.32","黑社会又拜,祝他们嫖赌、喝醉,一切都顺利",""
"1","762.32","766.48","同时,很有趣的,警察局也是拜同一个",""
"1","766.48","770.48","所以当你的打劫行动失败的时候",""
"1","770.48","775.96","你应该想想会不会是你所拜的通水,做了二五仔",""
"1","775.96","782.96","所以从这里可以看到,这位神是创造天对万物的,他是良善的。",""
"1","786.96","790.96","圣经让我们知道,神就是爱。",""
"1","790.96","796.96","原来神很想人得着祂的一切好,一切丰富。",""
"1","796.96","802.96","所以祂都差祂的独生儿子,神都差祂的独生儿子来,",""
"1","802.96","807.96","要使人认识他,使人得到帮助。",""
