Args: {'audio': ['audio/source_audio.wav'], 'model': 'mlx-community/whisper-large-v3-mlx', 'output_name': 'subtitles_zh_v2', 'output_dir': 'transcripts', 'output_format': 'srt', 'verbose': True, 'task': 'transcribe', 'language': 'yue', 'temperature': 0, 'best_of': 5, 'patience': None, 'length_penalty': None, 'suppress_tokens': '-1', 'initial_prompt': None, 'condition_on_previous_text': False, 'fp16': True, 'compression_ratio_threshold': 2.4, 'logprob_threshold': -1.0, 'no_speech_threshold': 0.6, 'word_timestamps': False, 'prepend_punctuations': '"\'“¿([{-', 'append_punctuations': '"\'.。,，!！?？:：”)]}、', 'highlight_words': False, 'max_line_width': None, 'max_line_count': None, 'max_words_per_line': None, 'hallucination_silence_threshold': None, 'clip_timestamps': '0'}
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 4907.05it/s]
[00:00.000 --> 00:05.600]  我想近這一個月來
[15:18.440 --> 15:20.440]  全部是機械人來的
[15:20.440 --> 15:23.240]  不知道你有沒有留意這個新聞
[15:23.240 --> 15:24.780]  我在YouTube裏面看到
[15:24.780 --> 15:27.040]  我不知道你還找不找得到
[15:27.040 --> 15:30.120]  當時是怎樣呢?當時有架無人機
[15:30.120 --> 15:32.440]  烏克蘭的無人機
[15:32.440 --> 15:34.540]  飛過上去在戰壕上面
[15:34.540 --> 15:37.860]  就發現有些俄羅斯的士兵
[15:37.860 --> 15:42.720]  有些士兵向那個無人機開槍
[15:42.720 --> 15:46.120]  接著沒多久就有一架戰車
[15:46.120 --> 15:50.280]  就是你見到的螢幕上面右邊的下面那個
[15:50.280 --> 15:51.720]  其實那架車是什麼呢?
[15:51.720 --> 15:53.760]  其實那架車是炸彈來的
[15:53.760 --> 15:56.960]  四個輪子炸彈就駛到戰壕那裡
[15:56.960 --> 15:59.360]  就想一獲贖的
[15:59.360 --> 16:03.520]  但是那些俄羅斯的士兵看到這樣就扯白旗
[16:03.520 --> 16:05.120]  就表示投降
[16:05.120 --> 16:10.000]  接著那架有機槍的戰車就出現了
[16:10.000 --> 16:11.480]  就將他們繳鞋
[16:11.480 --> 16:15.940]  以及將他們押回去這個俘虜營了
[16:15.940 --> 16:19.060]  你覺得這樣都可以嗎?
[16:19.060 --> 16:21.120]  其實如果你留意一下新聞
[16:21.120 --> 16:23.040]  你就知道這四年裡面
[16:23.040 --> 16:27.080]  使烏克蘭成為一個在軍事上都是一個強國
[16:27.080 --> 16:31.020]  特別是什麼呢?就是那些無人機的系統
[16:31.020 --> 16:38.120]  比如無人的飛機、無人的車、無人的戰車、無人的艦艇
[16:38.120 --> 16:40.760]  那無人的艦艇也很出名的 為什麼呢?
[16:40.760 --> 16:43.600]  因為它壓制著黑海艦隊的
[16:43.600 --> 16:47.300]  就是俄羅斯的黑海艦隊
[16:47.300 --> 16:53.060]  而控制這些的無人機械的時候
[16:53.060 --> 16:55.800]  通常就是用一個叫做First Person View
[16:55.800 --> 16:59.020]  就是說第一身的視覺
[16:59.020 --> 17:01.700]  就是說那個飛機看到的東西
[17:01.700 --> 17:05.060]  那個鏡頭看到的東西 就是你看到的東西了
[17:05.060 --> 17:07.000]  就好像畫面你見到的
[17:07.000 --> 17:09.800]  那個控制的人 他就是這樣了
[17:09.800 --> 17:12.840]  他看到的就是那個無人機鏡頭裡面
[17:12.840 --> 17:14.840]  拍攝到的情況了這樣
[17:14.840 --> 17:19.720]  由2024年的年尾開始
[17:19.720 --> 17:21.720]  在烏克蘭的戰場裏面
[17:21.720 --> 17:26.200]  他們就已經開始了實行這個所謂協同作戰
[17:26.200 --> 17:28.200]  一個士兵、一個單兵
[17:28.200 --> 17:32.800]  他不單止是控制陸上的戰車
[17:32.800 --> 17:36.820]  他也都可以同時控制空中的那些無人機
[17:36.820 --> 17:39.100]  所以有監察 剛才那個例子
[17:39.100 --> 17:40.980]  他發現那些俄兵
[17:40.980 --> 17:44.680]  接著就可以調動一架炸彈車去到中間
[17:44.680 --> 17:47.580]  簽敵了 這樣
[17:47.580 --> 17:49.280]  那你可以看到就是協同作戰
[17:49.280 --> 17:52.180]  使它一個單兵能夠控制這個
[17:52.180 --> 17:57.360]  海洛空的無人的那些武器
[17:57.360 --> 18:01.860]  再加上就是人工智能在這幾年裡面
[18:01.860 --> 18:04.780]  就是在戰場上面的發展
[18:04.780 --> 18:09.300]  就使得它那個果效更加厲害
[18:09.300 --> 18:12.620]  用機械人的果效 為什麼呢?
[18:12.620 --> 18:18.220]  因為人工智能可以將大量偵測到的資料
[18:18.220 --> 18:21.620]  海量的資料能夠消化、能夠分析
[18:21.620 --> 18:24.700]  從而判斷到戰場的情況
[18:24.700 --> 18:28.860]  繼而提供一些的選項
[18:28.860 --> 18:31.440]  所以你有沒有留意近這幾個月
[18:31.440 --> 18:33.040]  你會覺得美軍是不是很厲害?
[18:33.040 --> 18:36.500]  比如捉馬道羅這樣 一晚幾個小時
[18:36.500 --> 18:40.540]  竟然就抓到 其實在中南美洲
[18:40.540 --> 18:43.540]  委內瑞丹算是一個軍事強國來的
[18:43.540 --> 18:45.660]  但是這樣一抓就抓到了
[18:45.660 --> 18:49.700]  明天我舉多個例子 你們會了解
[18:49.700 --> 18:52.460]  那就不知道大家有沒有看過這齣戲
[18:52.460 --> 18:55.800]  這齣戲叫做《Zero Dark Thirty》
[18:55.800 --> 18:57.600]  有些人誤以為說
[18:57.600 --> 18:59.200]  如果你要看戰爭片
[18:59.200 --> 19:02.900]  十大其中一齣就是這樣了
[19:02.900 --> 19:05.920] 《Zero Dark Thirty》是什麼呢?
[19:06.500 --> 19:12.000]  中文我想你很熟了
[19:12.000 --> 19:15.060]  通常那些人的軍事行動
[19:15.060 --> 19:17.500]  他們就會選擇12點鐘至3點
[19:17.500 --> 19:19.980]  因為生理時鐘告訴我們
[19:19.980 --> 19:22.220]  大部分的人12點鐘至3點
[19:22.220 --> 19:25.420]  就是他最脆弱的、最睏的時候
[19:25.420 --> 19:29.280]  所以0.30 就是說12點半
[19:29.280 --> 19:34.520]  即5時30分的行動的意思
[19:34.520 --> 19:36.520]  其中有這樣的一幕的
[19:36.520 --> 19:43.460]  話說這個中央情報局的女探員
[19:43.460 --> 19:47.320]  就找到這個賓埃登藏在巴基斯坦
[19:47.320 --> 19:51.120]  但是就一直上級就沒有行動了
[19:51.120 --> 19:52.520]  沒有行動 為什麼呢?
[19:52.520 --> 19:54.720]  因為她怕引起外交風波
[19:54.720 --> 19:58.560]  她就經常問到底有多少成肯定
[19:58.560 --> 20:01.780]  賓埃登是在那裡呢?在大宅那裡呢?
[20:01.780 --> 20:05.380]  這一幕就是那個旅程服務員
[20:05.380 --> 20:08.640]  就每一天去到上司門口那裡就寫下了
[20:08.640 --> 20:10.340]  比如今天就寫下21天
[20:10.340 --> 20:12.500]  找到這個大宅已經21天了
[20:12.500 --> 20:14.000]  還沒有行動這樣
[20:14.000 --> 20:16.300]  一直去到什麼?去到159天
[20:16.300 --> 20:19.580]  就是四個多月都沒有行動
[20:19.580 --> 20:22.640]  最後才樂趣
[20:24.540 --> 20:28.780]  而我想這次的伊朗戰爭裡面
[20:28.780 --> 20:32.780]  我覺得最嚇人的是什麼呢?就是第一天
[20:32.780 --> 20:38.500]  是吧?第一天就已經斬殺了這個哈梅內伊了
[20:38.500 --> 20:42.340]  不僅如此 在第一天裡面已經殺了
[20:42.340 --> 20:49.660]  48個高級的將領和一些重要的領袖
[20:49.660 --> 20:51.880]  很厲害 很厲害
[20:51.880 --> 20:54.900]  那為什麼他能夠這樣做呢?
[20:54.900 --> 20:56.760]  除了武器精準之外
[20:56.760 --> 21:00.440]  所以你看見左手邊的上面
[21:00.440 --> 21:03.840]  哈梅內伊的住宅是不是很精準打擊?
[21:03.840 --> 21:05.360]  那棟樓就塌了
[21:05.360 --> 21:08.720]  還有幾個洞是很深的
[21:08.720 --> 21:12.200]  因為它是用鑽地彈那一類的
[21:12.200 --> 21:17.580]  而附近的那些樓宇是沒有被摧毀的
[21:17.580 --> 21:20.940]  其實就是什麼呢?
[21:20.940 --> 21:23.920]  就是它利用很多的監察
[21:23.920 --> 21:26.260]  比如馬路的那些鏡頭
[21:26.260 --> 21:29.660]  用很多監察 當然利用人工智能去分析
[21:29.660 --> 21:33.080]  將所有的目標人物已經到場了
[21:33.080 --> 21:35.860]  接著就決定用什麼時候
[21:35.860 --> 21:38.080]  是不是把這個時候去出擊呢?
[21:38.080 --> 21:43.280]  還有當出擊的時候 用什麼武器呢?
[21:43.280 --> 21:47.240]  你也留意到有聽過所謂用這個
[21:47.240 --> 21:51.100]  Blue spiral 藍爪 藍麻爪
[21:51.100 --> 21:53.940]  這個武器是很特別的 為什麼呢?
[21:53.940 --> 21:57.260]  因為一般的飛彈一發射就向前的
[21:57.260 --> 21:58.860]  但是它是向上的
[21:58.860 --> 22:01.700]  它就衝出去這個大氣的邊緣
[22:01.700 --> 22:03.260]  在太空的邊緣
[22:03.260 --> 22:05.440]  為什麼這樣呢?
[22:05.440 --> 22:07.580]  第一就是在太空邊緣阻力少
[22:07.580 --> 22:10.600]  就是說它能夠射的射程更加遠
[22:10.600 --> 22:15.120]  還有當它再回到地面的時候
[22:15.120 --> 22:16.720]  進入這個大氣層的時候
[22:16.720 --> 22:19.520]  它俯衝下來那個速度快
[22:19.520 --> 22:22.500]  就攔截的機會就少了
[22:22.500 --> 22:23.720]  你明白嗎?
[22:23.720 --> 22:26.440]  其實還有一個原因的
[22:26.440 --> 22:29.200]  因為你看見這個是戰爭第一天
[22:29.200 --> 22:30.760]  就是戰爭的初期
[22:30.760 --> 22:34.100]  其實你都不知道伊朗的防空系統被鎮壓
[22:34.100 --> 22:35.800]  被摧毀了多少的
[22:35.800 --> 22:40.680]  所以它就是針對這件事來選擇這件武器的
[22:40.680 --> 22:44.140]  因為你知道雷達無論你外面怎麼看
[22:44.140 --> 22:48.360]  它裡面都有一個天線是360度旋轉
[22:48.360 --> 22:50.020]  其實原理就是這麼簡單
[22:50.020 --> 22:53.640]  就是你發射一些信號上去
[22:53.640 --> 22:56.680]  出去 然後它遇到些什麼就回頭
[22:56.680 --> 22:58.240]  那你不就知道前面的事情了
[22:58.240 --> 22:59.620]  那是不是360度啊?
[22:59.620 --> 23:04.320]  但是大部分的雷達都有一個盲點的
